x,y,prop_difference,probability,department
e_n_central,new_england,-0.03,25.00%,comp_sci
e_n_central,pacific,-0.04,12.50%,comp_sci
e_n_central,s_atlantic,-0.06,7.10%,comp_sci
e_n_central,w_n_central,-0.04,18.50%,comp_sci
e_n_central,w_s_central,0.02,69.40%,comp_sci
e_s_central,e_n_central,0.02,65.20%,comp_sci
e_s_central,e_s_central,0,na,comp_sci
e_s_central,mid_atlantic,0.02,68.70%,comp_sci
e_s_central,mountain,0.04,77.90%,comp_sci
e_s_central,new_england,-0.01,43.70%,comp_sci
e_s_central,pacific,-0.02,30.50%,comp_sci
e_s_central,s_atlantic,-0.04,20.90%,comp_sci
e_s_central,w_n_central,-0.02,35.00%,comp_sci
e_s_central,w_s_central,0.04,78.50%,comp_sci
mid_atlantic,e_n_central,-0.01,44.30%,comp_sci
mid_atlantic,e_s_central,0.04,79.20%,comp_sci
mid_atlantic,mid_atlantic,0,na,comp_sci
mid_atlantic,mountain,0.01,63.40%,comp_sci
mid_atlantic,new_england,-0.03,21.10%,comp_sci
mid_atlantic,pacific,-0.05,10.30%,comp_sci
mid_atlantic,s_atlantic,-0.06,6.10%,comp_sci
mid_atlantic,w_n_central,-0.04,15.80%,comp_sci
mid_atlantic,w_s_central,0.01,64.20%,comp_sci
mountain,e_n_central,-0.02,31.60%,comp_sci
mountain,e_s_central,-0.04,22.10%,comp_sci
mountain,mid_atlantic,-0.01,36.70%,comp_sci
mountain,mountain,0,na,comp_sci
mountain,new_england,-0.04,12.40%,comp_sci
mountain,pacific,-0.06,5.10%,comp_sci
mountain,s_atlantic,-0.08,2.80%,comp_sci
mountain,w_n_central,-0.06,9.70%,comp_sci
mountain,w_s_central,0.002,51.70%,comp_sci
new_england,e_n_central,0.03,75.00%,comp_sci
new_england,e_s_central,0.01,56.30%,comp_sci
new_england,mid_atlantic,0.03,78.90%,comp_sci
new_england,mountain,0.04,87.60%,comp_sci
new_england,new_england,0,na,comp_sci
new_england,pacific,-0.02,31.80%,comp_sci
